"filename", "language", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\app\app-style.jsx", "JavaScript JSX", 18, 0, 8, 3, 29
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\account\login\login-view.jsx", "JavaScript JSX", 0, 0, 0, 1, 1
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\home-view.jsx", "JavaScript JSX", 0, 0, 212, 15, 227
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\reports\appointee-count.jsx", "JavaScript JSX", -196, 0, -9, -1, -206
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\full\header\Header.js", "JavaScript", 0, -5, 1, -1, -5
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\generate-table-row-data.jsx", "JavaScript JSX", 4, 0, 1, 0, 5
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\layout\container.jsx", "JavaScript JSX", 1, 0, 0, 0, 1
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\models\fullscreen-model.jsx", "JavaScript JSX", 0, 0, 2, 0, 2
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\small-list-table\small-list-table.jsx", "JavaScript JSX", 0, 0, 0, -2, -2
"Total", "-", -173, -5, 215, 15, 52
