"filename", "language", "JavaScript", "Properties", "JSON", "Markdown", "XML", "JavaScript JSX", "HTML", "CSS", "JSON with Comments", "comment", "blank", "total"
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\.env", "Properties", 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\.vs\VSWorkspaceState.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\action.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 30
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\config-overrides.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\index.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 57
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\package-lock.json", "JSON", 0, 0, 31773, 0, 0, 0, 0, 0, 0, 0, 1, 31774
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\package.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 1, 58
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 20, 180
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\public\playground_assets\redirect.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\second.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\action.json", "JSON", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 46
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\app\app-style.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1001, 0, 0, 0, 185, 66, 1252
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\app\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1048, 0, 53, 113, 1214
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\app\app.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 1, 7, 62
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\app\icon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\app\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\assets\images\backgrounds\login-bg.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\assets\images\logos\VERIDATA_LOGO_FULL.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\assets\images\logos\Veridata_logo_SVG.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\assets\images\logos\dark-logo.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\config.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\hooks\useAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\hooks\useScrollBlock.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 10, 11, 50
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\hooks\useWindowScrollPositions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 6, 22
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\index.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\account\login\login-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 164, 0, 0, 0, 6, 10, 180
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\account\logout\user-logout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\account\unauthorized\unauthorized-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\appointee\register\appointee-register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1505, 0, 0, 0, 55, 92, 1652
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\appointee\register\form-heading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\appointee\view\activity-log-details.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 0, 4, 16, 101
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\appointee\view\appointee-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 697, 0, 0, 0, 41, 26, 764
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\attention\attention.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 0, 11, 10, 141
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\data-update\data-update.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 0, 7, 9, 88
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\data-upload\data-upload.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 6, 9, 88
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\home-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 212, 0, 0, 0, 212, 28, 452
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
